run_name,model,samples,original_only_accept_rate,original_only_ghost_accept_rate,crop_gate_accept_rate,crop_gate_ghost_accept_rate,ghost_guard_accept_rate,ghost_guard_ghost_accept_rate,ghost_guard_abstention_rate
large200_bboxsolid_qwen2_5vl_7b,qwen2.5vl:7b,200,0.96,0.515625,0.915,0.5136612021857924,0.445,0.0,0.515
large200_bboxsolid_qwen2_5vl_3b,qwen2.5vl:3b,200,0.885,0.4745762711864407,0.76,0.4473684210526316,0.3,0.0,0.585
large200_bboxsolid_llava_7b,llava:7b,200,0.43,0.3372093023255814,0.35,0.3,0.245,0.0,0.185
